ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term
4583,1508,128,360
3000,0,66,360
2583,2358,120,360
6000,0,141,360
2333,1516,95,360
3200,700,70,360
1853,2840,114,360
1299,1086,17,120
4950,0,125,360
3510,0,76,360
4887,0,133,360
7660,0,104,360
2600,1911,116,360
2799,2253,122,360
4226,1040,110,360
1442,0,35,360
3167,0,74,360
4692,0,106,360
3500,1667,114,360
3667,1459,144,360
3748,1668,110,360
3600,0,80,360
1800,1213,47,360
3941,2336,134,360
5649,0,44,360
5821,0,144,360
2645,3440,120,360
4000,2275,144,360
1928,1644,100,360
3086,0,120,360
4230,0,112,360
4616,0,134,360
2708,1167,97,360
2132,1591,96,360
3366,2200,135,360
3357,2859,144,360
2500,3796,120,360
3029,0,99,360
4166,0,116,360
3200,2254,126,180
7100,0,125,60
4300,0,136,360
1875,1875,97,360
3500,0,81,300
3750,0,113,480
1000,3022,110,360
3846,0,111,360
3988,0,50,240
2366,2531,136,360
2500,2118,104,360
2958,2900,131,360
3273,1820,81,360
4133,0,122,360
3620,0,25,120
2484,2302,137,360
1977,997,50,360
4188,0,115,180
1759,3541,131,360
4288,3263,133,180
3052,1030,100,360
2071,754,94,480
5316,0,136,360
4166,0,44,360
2137,8980,137,360
2957,0,81,360
2014,1929,74,360
2718,0,70,360
3459,0,25,120
4895,0,102,360
4583,0,84,360
3316,3500,88,360
4200,1430,129,360
2698,2034,122,360
2330,4486,100,360
1538,1425,30,360
4860,830,125,360
6277,0,118,360
2281,0,113,360
3254,0,50,360
1863,1041,98,360
3089,1280,121,360
9323,0,75,180
4583,0,112,360
2439,3333,129,360
2237,0,63,480
3522,0,81,180
4344,736,87,360
3497,1964,116,360
2045,1619,101,360
3750,0,116,360
2333,1451,102,480
4600,0,73,180
3625,0,108,360
2178,0,66,300
4885,0,48,360
3858,0,76,360
4191,0,120,360
2600,2500,90,360
3500,1083,135,360
3917,0,124,360
4408,0,120,360
3244,0,80,360
3975,2531,55,360
2479,0,59,360
3418,0,127,360
3430,1250,128,360
5703,0,130,360
3173,3021,137,360
3850,983,100,360
150,1800,135,360
3727,1775,131,360
2221,0,60,360
4009,1717,116,360
2971,2791,144,360
6250,0,128,360
2491,2054,104,360
3155,1779,140,360
3812,0,112,360
3315,0,96,360
5819,5000,120,360
2510,1983,140,180
6250,1300,108,360
3406,4417,123,360
6050,4333,120,180
9703,0,112,360
6608,0,137,180
2882,1843,123,480
1809,1868,90,360
3427,0,138,360
2583,2167,104,360
6045,0,115,360
5250,0,94,360
2060,2209,134,360
7200,0,120,360
5166,0,128,360
4708,1387,150,360
2876,1560,90,360
3237,0,30,360
2833,1857,126,360
2620,2223,150,360
3900,0,90,360
2750,1842,115,360
3103,1300,80,360
3927,800,112,360
2301,985.7999878,78,180
1811,1666,54,360
3158,3053,89,360
2600,1717,99,300
3704,2000,120,360
4124,0,115,360
3075,2416,139,360
4400,0,127,360
3153,1560,134,360
4666,0,135,360
2014,2925,113,360
1800,2934,93,360
5000,0,132,360
1625,1803,96,360
4000,2500,140,360
3762,1666,135,360
2400,1863,104,360
2917,0,84,360
2927,2405,111,360
2507,0,56,360
3399,1640,111,180
3717,0,120,360
2400,2167,115,360
4342,189,124,360
4917,0,130,360
4333,2451,110,360
2500,0,67,360
4384,1793,117,360
2935,0,98,360
4160,0,71,360
2378,0,46,360
3173,0,74,360
3083,2168,126,360
2666,2083,95,360
5500,0,105,360
2423,505,130,360
3875,0,67,360
3000,1666,100,480
4723,0,81,360
4750,2333,130,360
6822,0,141,360
6216,0,133,360
2500,0,96,480
3062,1987,111,180
4817,923,120,180
8750,4996,130,360
3069,0,71,480
5391,0,130,360
7167,0,128,360
4566,0,100,360
2346,1600,132,360
2333,2417,136,360
5488,0,125,360
1993,1625,113,180
3100,1400,113,360
3180,0,71,360
3033,1459,95,360
3902,1666,109,360
1500,1800,103,360
2889,0,45,180
2755,0,65,300
2500,20000,103,360
1963,0,53,360
4547,0,115,360
2167,2400,115,360
2213,0,66,360
3867,0,62,360
2253,2033,110,360
2995,0,60,360
1025,2773,112,360
3246,1417,138,360
5829,0,138,360
1820,1719,100,360
2666,4300,121,360
4606,0,81,360
5935,0,133,360
2920,16.12000084,87,360
2717,0,60,180
8624,0,150,360
6500,0,105,360
2425,2340,143,360
3750,0,100,360
1926,1851,50,360
7142,0,138,360
4707,1993,148,360
3466,1210,130,360
4652,0,110,360
3340,1710,150,360
2309,1255,125,360
3948,1733,149,360
2483,2466,90,180
7085,0,84,360
3859,0,96,360
4301,0,118,360
4354,0,136,360
7740,0,128,180
4166,0,98,360
6000,0,140,360
2947,1664,70,180
4333,2451,110,360
2653,1500,113,180
4691,0,100,360
3095,0,113,360
2083,3150,128,360
1958,2436,131,360
3547,0,80,360
2435,0,75,360
3691,0,110,360
3597,2157,119,360
3326,913,105,84
2600,1700,107,360
2895,0,95,360
645,3683,113,480
3159,0,100,360
3814,1483,124,300
3598,1287,100,360
3283,2035,148,360
2130,6666,70,180
3466,3428,150,360
2031,1632,113,480
3400,0,95,360
2192,1742,45,360
2500,0,55,360
5677,1424,100,360
3775,0,110,360
2679,1302,94,360
6783,0,130,360
4281,0,100,360
3588,0,110,360
3617,0,107,360
2917,536,66,360
4608,2845,140,180
2138,0,99,360
2239,2524,128,360
3358,0,80,36
2526,1783,145,360
5000,0,103,360
2785,2016,110,360
3593,4266,132,180
5468,1032,26,360
3675,242,108,360
5800,0,132,360
3333,0,70,360
3400,2500,123,360
2378,0,9,360
3166,2064,104,360
6406,0,150,360
3159,461,108,84
3229,2739,110,360
1782,2232,107,360
1836,33837,90,360
3166,0,36,360
2787,1917,146,360
2297,1522,104,360
2165,0,70,360
2726,0,106,360
3000,3416,56,180
3859,3300,142,180
3833,0,110,360
5703,0,128,360
3232,1950,108,360
2900,0,71,360
4106,0,40,180
4583,0,133,360
